iter	Passed	Remaining
561	10641	8293
562	10669	8281
563	10688	8262
564	10704	8241
565	10723	8222
566	10741	8202
567	10757	8182
568	10775	8162
569	10792	8141
570	10809	8121
571	10827	8101
572	10843	8080
573	10859	8059
574	10876	8039
575	10893	8019
576	10911	7999
577	10929	7979
578	10948	7960
579	10964	7939
580	10982	7920
581	10999	7899
582	11017	7880
583	11035	7860
584	11053	7841
585	11072	7822
586	11091	7804
587	11109	7784
588	11126	7763
589	11142	7743
590	11163	7725
591	11184	7708
592	11203	7689
593	11225	7672
594	11243	7652
595	11260	7632
596	11277	7612
597	11295	7593
598	11312	7573
599	11330	7553
600	11348	7534
601	11369	7516
602	11389	7498
603	11414	7483
604	11436	7466
605	11459	7450
606	11489	7438
607	11511	7421
608	11532	7404
609	11558	7389
610	11590	7378
611	11618	7365
612	11650	7355
613	11677	7340
614	11702	7325
615	11730	7312
616	11755	7297
617	11784	7284
618	11813	7271
619	11834	7253
620	11856	7236
621	11878	7218
622	11897	7199
623	11923	7184
624	11944	7166
625	11969	7150
626	11990	7133
627	12010	7114
628	12028	7094
629	12046	7075
630	12066	7056
631	12083	7035
632	12100	7015
633	12118	6995
634	12135	6975
635	12154	6956
636	12175	6938
637	12194	6919
638	12212	6899
639	12229	6879
640	12248	6860
641	12267	6840
642	12284	6820
643	12302	6801
644	12320	6781
645	12337	6760
646	12356	6741
647	12376	6723
648	12396	6704
649	12414	6684
650	12431	6664
651	12448	6644
652	12465	6623
653	12482	6603
654	12499	6583
655	12516	6563
656	12535	6544
657	12553	6524
658	12571	6505
659	12588	6484
660	12607	6465
661	12624	6445
662	12643	6426
663	12659	6406
664	12677	6386
665	12695	6367
666	12713	6347
667	12732	6327
668	12750	6308
669	12766	6288
670	12783	6267
671	12800	6247
672	12819	6228
673	12837	6209
674	12855	6189
675	12871	6169
676	12888	6149
677	12906	6129
678	12924	6110
679	12942	6090
680	12960	6070
681	12977	6051
682	12995	6031
683	13013	6012
684	13031	5992
685	13047	5972
686	13065	5952
687	13082	5932
688	13101	5913
689	13118	5893
690	13135	5874
691	13153	5854
692	13174	5836
693	13193	5817
694	13212	5798
695	13231	5779
696	13250	5760
697	13267	5740
698	13286	5721
699	13301	5700
700	13318	5680
701	13338	5662
702	13358	5643
703	13379	5625
704	13397	5605
705	13415	5586
706	13434	5567
707	13452	5548
708	13469	5528
709	13486	5508
710	13506	5489
711	13523	5470
712	13540	5450
713	13557	5430
714	13576	5411
715	13594	5392
716	13611	5372
717	13630	5353
718	13647	5333
719	13664	5313
720	13683	5295
721	13701	5275
722	13718	5255
723	13734	5235
724	13753	5216
725	13771	5197
726	13788	5177
727	13806	5158
728	13823	5138
729	13841	5119
730	13859	5100
731	13877	5080
732	13897	5062
733	13914	5042
734	13931	5022
735	13947	5002
736	13966	4984
737	13984	4964
738	14003	4945
739	14021	4926
740	14039	4907
741	14057	4887
742	14074	4868
743	14092	4849
744	14111	4830
745	14129	4810
746	14147	4791
747	14165	4772
748	14182	4752
749	14200	4733
750	14220	4714
751	14236	4695
752	14257	4676
753	14276	4657
754	14293	4638
755	14312	4619
756	14329	4599
757	14350	4581
758	14368	4562
759	14385	4542
760	14405	4524
761	14420	4503
762	14437	4484
763	14455	4465
764	14472	4445
765	14488	4425
766	14505	4406
767	14522	4386
768	14539	4367
769	14557	4348
770	14572	4328
771	14590	4309
772	14608	4289
773	14628	4271
774	14647	4252
775	14666	4233
776	14686	4214
777	14704	4195
778	14722	4176
779	14740	4157
780	14757	4138
781	14776	4119
782	14793	4099
783	14812	4080
784	14828	4061
785	14847	4042
786	14864	4023
787	14882	4003
788	14901	3984
789	14919	3965
790	14937	3946
791	14955	3927
792	14975	3909
793	14993	3890
794	15011	3870
795	15030	3851
796	15048	3832
797	15065	3813
798	15084	3794
799	15101	3775
800	15119	3756
801	15137	3737
802	15155	3718
803	15175	3699
804	15192	3680
805	15210	3661
806	15229	3642
807	15248	3623
808	15268	3604
809	15285	3585
810	15303	3566
811	15323	3547
812	15345	3529
813	15367	3511
814	15388	3493
815	15410	3474
816	15437	3457
817	15459	3439
818	15480	3421
819	15502	3403
820	15521	3384
821	15543	3365
822	15561	3346
823	15586	3329
824	15608	3310
825	15633	3293
826	15657	3275
827	15681	3257
828	15709	3240
829	15732	3222
830	15758	3204
831	15780	3186
832	15800	3167
833	15816	3148
834	15834	3128
835	15852	3109
836	15869	3090
837	15886	3071
838	15905	3052
839	15923	3033
840	15941	3013
841	15960	2994
842	15978	2975
843	15995	2956
844	16015	2937
845	16032	2918
846	16051	2899
847	16069	2880
848	16087	2861
849	16104	2842
850	16121	2822
851	16139	2803
852	16160	2784
853	16177	2765
854	16196	2746
855	16215	2727
856	16234	2708
857	16254	2690
858	16277	2671
859	16299	2653
860	16318	2634
861	16336	2615
862	16355	2596
863	16373	2577
864	16391	2558
865	16412	2539
866	16430	2520
867	16448	2501
868	16467	2482
869	16487	2463
870	16506	2444
871	16524	2425
872	16543	2406
873	16562	2387
874	16580	2368
875	16599	2349
876	16617	2330
877	16635	2311
878	16655	2292
879	16673	2273
880	16692	2254
881	16710	2235
882	16729	2216
883	16746	2197
884	16763	2178
885	16781	2159
886	16802	2140
887	16827	2122
888	16850	2103
889	16873	2085
890	16898	2067
891	16921	2048
892	16944	2030
893	16972	2012
894	17000	1994
895	17030	1976
896	17056	1958
897	17083	1940
898	17107	1922
899	17137	1904
900	17166	1886
901	17194	1868
902	17227	1850
903	17257	1832
904	17286	1814
905	17311	1796
906	17337	1777
907	17358	1758
908	17385	1740
909	17409	1721
910	17426	1702
911	17444	1683
912	17464	1664
913	17481	1644
914	17500	1625
915	17518	1606
916	17537	1587
917	17556	1568
918	17576	1549
919	17594	1529
920	17611	1510
921	17628	1491
922	17646	1472
923	17662	1452
924	17680	1433
925	17700	1414
926	17717	1395
927	17735	1376
928	17752	1356
929	17770	1337
930	17789	1318
931	17806	1299
932	17824	1280
933	17841	1260
934	17860	1241
935	17878	1222
936	17896	1203
937	17914	1184
938	17932	1164
939	17947	1145
940	17968	1126
941	17985	1107
942	18002	1088
943	18020	1069
944	18038	1049
945	18059	1030
946	18077	1011
947	18095	992
948	18113	973
949	18131	954
950	18151	935
951	18169	916
952	18188	897
953	18206	877
954	18224	858
955	18242	839
956	18259	820
957	18277	801
958	18295	782
959	18315	763
960	18334	744
961	18354	725
962	18373	705
963	18391	686
964	18408	667
965	18428	648
966	18446	629
967	18464	610
968	18483	591
969	18501	572
970	18520	553
971	18538	534
972	18557	514
973	18576	495
974	18594	476
975	18610	457
976	18629	438
977	18646	419
978	18663	400
979	18681	381
980	18698	362
981	18716	343
982	18733	323
983	18751	304
984	18769	285
985	18788	266
986	18806	247
987	18824	228
988	18842	209
989	18860	190
990	18878	171
991	18896	152
992	18915	133
993	18934	114
994	18951	95
995	18970	76
996	18986	57
997	19004	38
998	19023	19
999	19040	0
